Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,???,48730,0.3263,0.6299,0.0222,0.0006,0.0148,0.0005,0.0002,0.0002,0.0014,0.0018,0.0007,0.0007,
??,???,48740,0.2669,0.6957,0.0174,0.0009,0.0123,0.0004,0.0001,0.0002,0.0016,0.0019,0.0011,0.0008,
??,???,48820,0.3049,0.6545,0.019,0.0007,0.0145,0.0004,0.0003,0.0003,0.0012,0.0013,0.0015,0.0009,
??,???,48840,0.3391,0.6186,0.0226,0.0006,0.0115,0.0007,0.0001,0.0004,0.0009,0.0022,0.0014,0.0015,
??,???,48850,0.3544,0.5995,0.0228,0.001,0.0131,0.0004,0.0003,0.0003,0.001,0.0022,0.0026,0.0018,
??,???,48860,0.289,0.6738,0.0188,0.0009,0.0088,0.0003,0.0001,0.0003,0.0013,0.0033,0.0017,0.0011,
??,???,48870,0.3203,0.637,0.0198,0.0008,0.0127,0.0006,0.0005,0.0004,0.0014,0.0025,0.0024,0.001,
??,???,48880,0.2921,0.6656,0.0218,0.0011,0.0119,0.0004,0.0004,0.0002,0.001,0.0022,0.0015,0.0012,
??,???,48890,0.2241,0.7376,0.0165,0.0009,0.01,0.0007,0.0002,0.0005,0.002,0.0031,0.0022,0.0016,
??,???,50110,0.537,0.4157,0.034,0.0006,0.0084,0.0003,0.0001,0.0002,0.0006,0.0013,0.0005,0.0006,
??,????,50130,0.4967,0.4564,0.0321,0.0006,0.0093,0.0003,0.0001,0.0001,0.0006,0.0015,0.0006,0.001,
